통합분류코드 시군구코드 시군구명 비자치구 여부
1171 44150 충청남도 공주시 미해당

1172 44180 충청남도 보령시 미해당

1173 44200 충청남도 아산시 미해당

1174 44210 충청남도 서산시 미해당

1175 44230 충청남도 논산시 미해당

1176 44250 충청남도 계룡시 미해당

1177 44270 충청남도 당진시 미해당

1178 44710 충청남도 금산군 미해당

1179 44760 충청남도 부여군 미해당

1180 44770 충청남도 서천군 미해당

1181 44790 충청남도 청양군 미해당

1182 44800 충청남도 홍성군 미해당

1183 44810 충청남도 예산군 미해당

1184 44825 충청남도 태안군 미해당

1202 46000 전라남도 미해당

1203 46110 전라남도 목포시 미해당

1204 46130 전라남도 여수시 미해당

1205 46150 전라남도 순천시 미해당

1206 46170 전라남도 나주시 미해당

1207 46230 전라남도 광양시 미해당

1208 46710 전라남도 담양군 미해당

1209 46720 전라남도 곡성군 미해당



1210 46730 전라남도 구례군 미해당

1211 46770 전라남도 고흥군 미해당

1212 46780 전라남도 보성군 미해당

1213 46790 전라남도 화순군 미해당

1214 46800 전라남도 장흥군 미해당

1215 46810 전라남도 강진군 미해당

1216 46820 전라남도 해남군 미해당

1217 46830 전라남도 영암군 미해당

1218 46840 전라남도 무안군 미해당

1219 46860 전라남도 함평군 미해당

1220 46870 전라남도 영광군 미해당

1221 46880 전라남도 장성군 미해당

1222 46890 전라남도 완도군 미해당

1223 46900 전라남도 진도군 미해당

1224 46910 전라남도 신안군 미해당

1225 47000 경상북도 미해당

1226 47110 경상북도 포항시 해당

1226 47111 포항시 포항시 남구 해당

1226 47113 포항시 포항시 북구 해당

1229 47130 경상북도 경주시 미해당

1230 47150 경상북도 김천시 미해당

1231 47170 경상북도 안동시 미해당

1232 47190 경상북도 구미시 미해당

1233 47210 경상북도 영주시 미해당

1234 47230 경상북도 영천시 미해당

1235 47250 경상북도 상주시 미해당

1236 47280 경상북도 문경시 미해당

1237 47290 경상북도 경산시 미해당

1239 47730 경상북도 의성군 미해당

1240 47750 경상북도 청송군 미해당

1241 47760 경상북도 영양군 미해당

1242 47770 경상북도 영덕군 미해당

1243 47820 경상북도 청도군 미해당

1244 47830 경상북도 고령군 미해당

1245 47840 경상북도 성주군 미해당

1246 47850 경상북도 칠곡군 미해당



1247 47900 경상북도 예천군 미해당

1248 47920 경상북도 봉화군 미해당

1249 47930 경상북도 울진군 미해당

1250 47940 경상북도 울릉군 미해당

1251 48000 경상남도 미해당

1252 48120 경상남도 창원시 해당

1252 48121 창원시 창원시 의창구 해당

1252 48123 창원시 창원시 성산구 해당

1252 48125 창원시 창원시 마산합포구 해당

1252 48127 창원시 창원시 마산회원구 해당

1252 48129 창원시 창원시 진해구 해당

1258 48170 경상남도 진주시 미해당

1259 48220 경상남도 통영시 미해당

1260 48240 경상남도 사천시 미해당

1261 48250 경상남도 김해시 미해당

1262 48270 경상남도 밀양시 미해당

1263 48310 경상남도 거제시 미해당

1264 48330 경상남도 양산시 미해당

1265 48720 경상남도 의령군 미해당

1266 48730 경상남도 함안군 미해당

1267 48740 경상남도 창녕군 미해당

1268 48820 경상남도 고성군 미해당

1269 48840 경상남도 남해군 미해당

1270 48850 경상남도 하동군 미해당

1271 48860 경상남도 산청군 미해당

1272 48870 경상남도 함양군 미해당

1273 48880 경상남도 거창군 미해당

1274 48890 경상남도 합천군 미해당

1275 50000 제주특별자치도 미해당

1276 50110 제주특별자치도 제주시 미해당

1277 50130 제주특별자치도 서귀포시 미해당

1132 51000 강원도 미해당

1133 51110 강원도 춘천시 미해당

1134 51130 강원도 원주시 미해당

1135 51150 강원도 강릉시 미해당

1136 51170 강원도 동해시 미해당



1137 51190 강원도 태백시 미해당

1138 51210 강원도 속초시 미해당

1139 51230 강원도 삼척시 미해당

1140 51720 강원도 홍천군 미해당

1141 51730 강원도 횡성군 미해당

1142 51750 강원도 영월군 미해당

1143 51760 강원도 평창군 미해당

1144 51770 강원도 정선군 미해당

1145 51780 강원도 철원군 미해당

1146 51790 강원도 화천군 미해당

1147 51800 강원도 양구군 미해당

1148 51810 강원도 인제군 미해당

1149 51820 강원도 고성군 미해당

1150 51830 강원도 양양군 미해당

1185 52000 전라북도 미해당

1186 52110 전라북도 전주시 해당

1186 52111 전주시 전주시 완산구 해당

1186 52113 전주시 전주시 덕진구 해당

1189 52130 전라북도 군산시 미해당

1190 52140 전라북도 익산시 미해당

1191 52180 전라북도 정읍시 미해당

1192 52190 전라북도 남원시 미해당

1193 52210 전라북도 김제시 미해당

1194 52710 전라북도 완주군 미해당

1195 52720 전라북도 진안군 미해당

1196 52730 전라북도 무주군 미해당

1197 52740 전라북도 장수군 미해당

1198 52750 전라북도 임실군 미해당

1199 52770 전라북도 순창군 미해당

1200 52790 전라북도 고창군 미해당

1201 52800 전라북도 부안군 미해당

1278 EA000 인천경제자유구역 미해당

1279 EB000 부산진해경제자유구역 미해당

1280 EC000 광양만권경제자유구역 미해당

1281 ED000 경기경제자유구역 미해당

1282 EE000 대구경북경제자유구역 미해당



1283 EF000 동해안권경제자유구역 미해당

1284 EG000 충북경제자유구역 미해당

1285 EH000 울산경제자유구역 미해당

1286 EI000 광주경제자유구역 미해당
